script	scriptLabel	language	code	label_en
http://www.wikidata.org/entity/Q113557400	Balochi Roman Orthography	http://www.wikidata.org/entity/Q33049	bal	Balochi
http://www.wikidata.org/entity/Q113557437	Balochi Standard Orthography	http://www.wikidata.org/entity/Q33049	bal	Balochi
http://www.wikidata.org/entity/Q756802	Bangla alphabet	http://www.wikidata.org/entity/Q9610	bn	Bangla
http://www.wikidata.org/entity/Q756802	Bangla alphabet	http://www.wikidata.org/entity/Q33173	ctg	Chittagonian
http://www.wikidata.org/entity/Q756802	Bangla alphabet	http://www.wikidata.org/entity/Q33965	sat	Santali
http://www.wikidata.org/entity/Q12438487	Bangla–Assamese script	http://www.wikidata.org/entity/Q37059	bpy	Bishnupriya Manipuri
http://www.wikidata.org/entity/Q12438487	Bangla–Assamese script	http://www.wikidata.org/entity/Q33270	hoc	Ho
http://www.wikidata.org/entity/Q12438487	Bangla–Assamese script	http://www.wikidata.org/entity/Q33965	sat	Santali
http://www.wikidata.org/entity/Q12438487	Bangla–Assamese script	http://www.wikidata.org/entity/Q2044560	syl	Sylheti
http://www.wikidata.org/entity/Q791275	Basque alphabet	http://www.wikidata.org/entity/Q8752	eu	Basque
http://www.wikidata.org/entity/Q51592	Batak script	http://www.wikidata.org/entity/Q2891049	btm	Mandailing Batak
http://www.wikidata.org/entity/Q51592	Batak script	http://www.wikidata.org/entity/Q33017	bbc	Toba Batak
http://www.wikidata.org/entity/Q812124	Baybayin	http://www.wikidata.org/entity/Q35936	ilo	Ilocano
http://www.wikidata.org/entity/Q812124	Baybayin	http://www.wikidata.org/entity/Q34279	war	Waray
http://www.wikidata.org/entity/Q792216	Belarusian Cyrillic alphabet	http://www.wikidata.org/entity/Q9091	be	Belarusian
http://www.wikidata.org/entity/Q2532709	Berber Latin alphabet	http://www.wikidata.org/entity/Q33274	shy	Shawiya
http://www.wikidata.org/entity/Q126897123	Blackfoot syllabics	http://www.wikidata.org/entity/Q33060	bla	Blackfoot
http://www.wikidata.org/entity/Q9147416	Breton alphabet	http://www.wikidata.org/entity/Q12107	br	Breton
http://www.wikidata.org/entity/Q113301414	Brolikva	http://www.wikidata.org/entity/Q33202	brh	Brahui
http://www.wikidata.org/entity/Q2226591	Bulgarian Braille	http://www.wikidata.org/entity/Q7918	bg	Bulgarian
http://www.wikidata.org/entity/Q164436	Bulgarian alphabet	http://www.wikidata.org/entity/Q7918	bg	Bulgarian
http://www.wikidata.org/entity/Q9228	Burmese	http://www.wikidata.org/entity/Q5330390	kjp	Eastern Pwo
http://www.wikidata.org/entity/Q854968	Burmese alphabet	http://www.wikidata.org/entity/Q9228	my	Burmese
http://www.wikidata.org/entity/Q854968	Burmese alphabet	http://www.wikidata.org/entity/Q3450749	rki	Rakhine
http://www.wikidata.org/entity/Q2479183	Canadian Aboriginal syllabics	http://www.wikidata.org/entity/Q33390	cr	Cree
http://www.wikidata.org/entity/Q2479183	Canadian Aboriginal syllabics	http://www.wikidata.org/entity/Q29921	iu	Inuktitut
http://www.wikidata.org/entity/Q2479183	Canadian Aboriginal syllabics	http://www.wikidata.org/entity/Q1704302	nsk	Naskapi
http://www.wikidata.org/entity/Q2479183	Canadian Aboriginal syllabics	http://www.wikidata.org/entity/Q33875	ojb	Ojibwe
http://www.wikidata.org/entity/Q13586477	Cantonese Braille	http://www.wikidata.org/entity/Q9186	zh-yue	Cantonese
http://www.wikidata.org/entity/Q13586477	Cantonese Braille	http://www.wikidata.org/entity/Q9186	yue	Cantonese
http://www.wikidata.org/entity/Q13586477	Cantonese Braille	http://www.wikidata.org/entity/Q7033959	yue	Yue Chinese
http://www.wikidata.org/entity/Q13586477	Cantonese Braille	http://www.wikidata.org/entity/Q7033959	zh-yue	Yue Chinese
http://www.wikidata.org/entity/Q124567526	Cassidy/JLU orthography	http://www.wikidata.org/entity/Q35939	jam	Jamaican Patois
http://www.wikidata.org/entity/Q16825876	Catalan Braille	http://www.wikidata.org/entity/Q7026	ca	Catalan
http://www.wikidata.org/entity/Q610822	Catalan alphabet	http://www.wikidata.org/entity/Q7026	ca	Catalan
http://www.wikidata.org/entity/Q1059328	Chakma script	http://www.wikidata.org/entity/Q32952	ccp	Chakma
http://www.wikidata.org/entity/Q720454	Chechen writing	http://www.wikidata.org/entity/Q33350	ce	Chechen
http://www.wikidata.org/entity/Q26549	Cherokee syllabary	http://www.wikidata.org/entity/Q33388	chr	Cherokee
http://www.wikidata.org/entity/Q8201	Chinese characters	http://www.wikidata.org/entity/Q9186	yue	Cantonese
http://www.wikidata.org/entity/Q8201	Chinese characters	http://www.wikidata.org/entity/Q9186	zh-yue	Cantonese
http://www.wikidata.org/entity/Q8201	Chinese characters	http://www.wikidata.org/entity/Q7850	zh	Chinese
http://www.wikidata.org/entity/Q8201	Chinese characters	http://www.wikidata.org/entity/Q36455	cdo	Eastern Min
http://www.wikidata.org/entity/Q8201	Chinese characters	http://www.wikidata.org/entity/Q33475	gan	Gan Chinese
http://www.wikidata.org/entity/Q8201	Chinese characters	http://www.wikidata.org/entity/Q33375	hak	Hakka Chinese
http://www.wikidata.org/entity/Q8201	Chinese characters	http://www.wikidata.org/entity/Q36495	nan	Southern Min
http://www.wikidata.org/entity/Q8201	Chinese characters	http://www.wikidata.org/entity/Q36495	zh-min-nan	Southern Min
http://www.wikidata.org/entity/Q8201	Chinese characters	http://www.wikidata.org/entity/Q34290	wuu	Wu Chinese
http://www.wikidata.org/entity/Q259575	Chuvash alphabet	http://www.wikidata.org/entity/Q33348	cv	Chuvash
http://www.wikidata.org/entity/Q8209	Cyrillic script	http://www.wikidata.org/entity/Q27567	abq	Abaza
http://www.wikidata.org/entity/Q8209	Cyrillic script	http://www.wikidata.org/entity/Q5111	ab	Abkhaz
http://www.wikidata.org/entity/Q8209	Cyrillic script	http://www.wikidata.org/entity/Q27776	ady	Adyghe
http://www.wikidata.org/entity/Q8209	Cyrillic script	http://www.wikidata.org/entity/Q29561	av	Avar
http://www.wikidata.org/entity/Q8209	Cyrillic script	http://www.wikidata.org/entity/Q9292	az	Azerbaijani
http://www.wikidata.org/entity/Q8209	Cyrillic script	http://www.wikidata.org/entity/Q33256	sgh-ba	Bartangi
http://www.wikidata.org/entity/Q8209	Cyrillic script	http://www.wikidata.org/entity/Q13389	ba	Bashkir
http://www.wikidata.org/entity/Q8209	Cyrillic script	http://www.wikidata.org/entity/Q7918	bg	Bulgarian
http://www.wikidata.org/entity/Q8209	Cyrillic script	http://www.wikidata.org/entity/Q33120	bxr	Buryat
http://www.wikidata.org/entity/Q8209	Cyrillic script	http://www.wikidata.org/entity/Q33350	ce	Chechen
http://www.wikidata.org/entity/Q8209	Cyrillic script	http://www.wikidata.org/entity/Q33170	ckt	Chukchi
http://www.wikidata.org/entity/Q8209	Cyrillic script	http://www.wikidata.org/entity/Q33348	cv	Chuvash
http://www.wikidata.org/entity/Q8209	Cyrillic script	http://www.wikidata.org/entity/Q32332	dar	Dargwa
http://www.wikidata.org/entity/Q8209	Cyrillic script	http://www.wikidata.org/entity/Q29952	myv	Erzya
http://www.wikidata.org/entity/Q8209	Cyrillic script	http://www.wikidata.org/entity/Q33457	gag	Gagauz
http://www.wikidata.org/entity/Q8209	Cyrillic script	http://www.wikidata.org/entity/Q1776032	mrj	Hill Mari
http://www.wikidata.org/entity/Q8209	Cyrillic script	http://www.wikidata.org/entity/Q33509	inh	Ingush
http://www.wikidata.org/entity/Q8209	Cyrillic script	http://www.wikidata.org/entity/Q33522	kbd	Kabardian
http://www.wikidata.org/entity/Q8209	Cyrillic script	http://www.wikidata.org/entity/Q33714	krc	Karachay-Balkar
http://www.wikidata.org/entity/Q8209	Cyrillic script	http://www.wikidata.org/entity/Q33541	kaa	Karakalpak
http://www.wikidata.org/entity/Q8209	Cyrillic script	http://www.wikidata.org/entity/Q9252	kk	Kazakh
http://www.wikidata.org/entity/Q8209	Cyrillic script	http://www.wikidata.org/entity/Q2562249	sgh-kh	Khufi
http://www.wikidata.org/entity/Q8209	Cyrillic script	http://www.wikidata.org/entity/Q33656	sjd	Kildin Sami
http://www.wikidata.org/entity/Q8209	Cyrillic script	http://www.wikidata.org/entity/Q36126	kv	Komi
http://www.wikidata.org/entity/Q8209	Cyrillic script	http://www.wikidata.org/entity/Q56318	koi	Komi-Permyak
http://www.wikidata.org/entity/Q8209	Cyrillic script	http://www.wikidata.org/entity/Q36209	kum	Kumyk
http://www.wikidata.org/entity/Q8209	Cyrillic script	http://www.wikidata.org/entity/Q36368	ku	Kurdish
http://www.wikidata.org/entity/Q8209	Cyrillic script	http://www.wikidata.org/entity/Q36163	ku	Kurmanji
http://www.wikidata.org/entity/Q8209	Cyrillic script	http://www.wikidata.org/entity/Q9255	ky	Kyrgyz
http://www.wikidata.org/entity/Q8209	Cyrillic script	http://www.wikidata.org/entity/Q31746	lez	Lezgian
http://www.wikidata.org/entity/Q8209	Cyrillic script	http://www.wikidata.org/entity/Q9296	mk	Macedonian
http://www.wikidata.org/entity/Q8209	Cyrillic script	http://www.wikidata.org/entity/Q3906614	mhr	Meadow Mari
http://www.wikidata.org/entity/Q8209	Cyrillic script	http://www.wikidata.org/entity/Q13343	mdf	Moksha
http://www.wikidata.org/entity/Q8209	Cyrillic script	http://www.wikidata.org/entity/Q9246	mn	Mongolian
http://www.wikidata.org/entity/Q8209	Cyrillic script	http://www.wikidata.org/entity/Q36452	yrk	Nenets
http://www.wikidata.org/entity/Q8209	Cyrillic script	http://www.wikidata.org/entity/Q33871	nog	Nogai
http://www.wikidata.org/entity/Q8209	Cyrillic script	http://www.wikidata.org/entity/Q3356620	sgh-oro	Oroshori
http://www.wikidata.org/entity/Q8209	Cyrillic script	http://www.wikidata.org/entity/Q3356620	sgh-ro	Oroshori
http://www.wikidata.org/entity/Q8209	Cyrillic script	http://www.wikidata.org/entity/Q33968	os	Ossetian
http://www.wikidata.org/entity/Q8209	Cyrillic script	http://www.wikidata.org/entity/Q9168	fa	Persian
http://www.wikidata.org/entity/Q8209	Cyrillic script	http://www.wikidata.org/entity/Q36748	pnt	Pontic Greek
http://www.wikidata.org/entity/Q8209	Cyrillic script	http://www.wikidata.org/entity/Q13201	rmy	Romani
http://www.wikidata.org/entity/Q8209	Cyrillic script	http://www.wikidata.org/entity/Q2597566	sgh-ru	Rushani
http://www.wikidata.org/entity/Q8209	Cyrillic script	http://www.wikidata.org/entity/Q7737	ru	Russian
http://www.wikidata.org/entity/Q8209	Cyrillic script	http://www.wikidata.org/entity/Q26245	rue	Rusyn
http://www.wikidata.org/entity/Q8209	Cyrillic script	http://www.wikidata.org/entity/Q9301	sh	Serbo-Croatian
http://www.wikidata.org/entity/Q8209	Cyrillic script	http://www.wikidata.org/entity/Q34053	sgh	Shughni
http://www.wikidata.org/entity/Q8209	Cyrillic script	http://www.wikidata.org/entity/Q1991779	alt	Southern Altai
http://www.wikidata.org/entity/Q8209	Cyrillic script	http://www.wikidata.org/entity/Q9260	tg	Tajik
http://www.wikidata.org/entity/Q8209	Cyrillic script	http://www.wikidata.org/entity/Q34318	tly	Talysh
http://www.wikidata.org/entity/Q8209	Cyrillic script	http://www.wikidata.org/entity/Q25285	tt	Tatar
http://www.wikidata.org/entity/Q8209	Cyrillic script	http://www.wikidata.org/entity/Q36656	sjt	Ter Sami
http://www.wikidata.org/entity/Q8209	Cyrillic script	http://www.wikidata.org/entity/Q9267	tk	Turkmen
http://www.wikidata.org/entity/Q8209	Cyrillic script	http://www.wikidata.org/entity/Q34119	tyv	Tuvan
http://www.wikidata.org/entity/Q8209	Cyrillic script	http://www.wikidata.org/entity/Q13238	udm	Udmurt
