item	code	label_en	label_fr	label_de	label_nl	label_es	description_en	description_fr	description_de	description_nl	description_es
http://www.wikidata.org/entity/Q150	fr	French	français	Französisch	Frans	francés	Romance language	langue romane	romanische Sprache	Romaanse taal	lengua romance
http://www.wikidata.org/entity/Q33441	fur	Friulian	frioulan	Furlanisch	Friulisch	friulano	Romance language belonging to the Rhaeto-Romance family, spoken in the Friuli region of northeastern Italy	langue la plus répandue du groupe rhéto-roman des langues romanes	rätoromanische Sprache	taal	lengua romance hablada principalmente en Italia
http://www.wikidata.org/entity/Q33454	ff	Fula	peul	Fulfulde	Fulah	fula	language of West Africa of the Senegambian branch of the Niger–Congo language family	langue africaine	Sprache	taal	lengua nigerocongolesa
http://www.wikidata.org/entity/Q33287	gaa	Ga	ga	Ga	Ga	Idioma ga	Kwa language spoken in Ghana	langue kwa	Sprache	taal	lengua
http://www.wikidata.org/entity/Q33457	gag	Gagauz	gagaouze	Gagausisch	Gagaoezisch	gagaúzo	Turkic language, spoken mainly by the Gagauz people and the official language of the autonomous Moldovan region of Gagauzia	langue turcique	Sprache	taal	lengua túrquica hablada por los gagaúzos
http://www.wikidata.org/entity/Q9307	gl	Galician	galicien	Galicisch	Galicisch	gallego	Western Ibero-Romance language	langue romane	Romanische Sprache	taal	lengua romance
http://www.wikidata.org/entity/Q33475	gan	Gan Chinese	gan	Gan	Gan	chino gan	member of the Sinitic languages of the Sino-Tibetan language family spoken as the native language by the people in the Jiangxi province of China	langue	Sprache	taal	idioma humano
http://www.wikidata.org/entity/Q11260444	ko-gan	Gangwon Korean					dialect of the Korean language				
http://www.wikidata.org/entity/Q35667	gez	Ge'ez	guèze	Ge’ez	Ge'ez	ge'ez	ancient Semitic language of Ethiopia	ancienne langue sémitique d'Éthiopie ; langue liturgique	Sprache	taal	lengua semítica extinta de Etiopía, antecesora del amhárico
http://www.wikidata.org/entity/Q8108	ka	Georgian	géorgien	Georgisch	Georgisch	georgiano	Kartvelian language	langue kartvélienne	südkaukasische Sprache, Amtssprache in Georgien	officiële taal van de republiek Georgië	lengua kartveliana
http://www.wikidata.org/entity/Q188	de	German	allemand	Deutsch	Duits	alemán	West Germanic language native to Central Europe	langue germanique occidentale	westgermanische Sprache	West-Germaanse taal	lengua germánica occidental
http://www.wikidata.org/entity/Q33282	gsg	German Sign Language	langue des signes allemande	Deutsche Gebärdensprache	Duitse gebarentaal	lengua de señas alemana	sign language in which the deaf community and hearing people communicate with each other in Germany	langage visuel-manuel utilisé par les personnes sourdes, malentendantes et entendantes en Allemagne pour communiquer entre elles	visuell-manuelle Sprache, in der gehörlose, schwerhörige und hörende Personen in Deutschland miteinander kommunizieren		lengua de señas alemán
http://www.wikidata.org/entity/Q5555465	gpe	Ghanaian Pidgin English	pidgin ghanéen		Ghanees-Pidgin	pidgin inglés de Ghana	creole language	créole à base lexicale anglaise	Sprache		
http://www.wikidata.org/entity/Q181037	aln	Gheg	guègue	Gegisch	Gegisch	albanés guego	northern dialect of the Albanian language	variété de l'albanais	indogermanische Sprache	dialect	dialecto nortino del idioma albanés
http://www.wikidata.org/entity/Q33587	ki	Gikuyu	kikuyu	Kikuyu	Gikuyu	kikuyu	Bantu language in Kenya	langue de l’ethnie majoritaire du Kenya	in Kenia weitverbreitete Bantusprache	taal in Kenya	lengua hablada principalmente por la etnia Kĩkũyũ de Kenya
http://www.wikidata.org/entity/Q33657	glk	Gilaki	gilaki	Gilaki	Gilaki	gileki	Western Iranian language	langue	Iranische Sprache	taal	idioma humano
http://www.wikidata.org/entity/Q30898	gil	Gilbertese	gilbertin	Kiribatisch	Kiribatisch	gilbertino	language from the Austronesian family	langue austronésienne et officielle de la république des Kiribati	austronesische Sprache	taal	lengua micronesia
http://www.wikidata.org/entity/Q145625	chu	Glagolitic	alphabet glagolitique	glagolitische Schrift	glagolitisch alfabet	alfabeto glagolítico	oldest known Slavic alphabet	plus vieil alphabet slave connu	slawische Buchstabenschrift des Altertums	alfabet van Cyrillus en Methodius	alfabeto utilizado para escribir eslavo eclesiástico
http://www.wikidata.org/entity/Q83529939	en-gb-sco	Glasgow Scottish					dialect of English peculiar to Glasgow, Scotland, UK				
http://www.wikidata.org/entity/Q5575236	gom	Goan Konkani	konkani de Goa	Goa-Konkani	Goa-Konkani		language	langue indo-aryenne	Sprache	Indische taal, officiële taal van de Indiase deelstaat Goa	
http://www.wikidata.org/entity/Q64362984	gom-deva	Goan Konkani in Devanagari script	konkani de Goa en devanagari		Goan Konkani in Devanagari schrift		language expressed in a particular alphabet				
http://www.wikidata.org/entity/Q64362985	gom-latn	Goan Konkani in Latin script			Goan Konkani in Latijns schrift		language expressed in a particular alphabet				
http://www.wikidata.org/entity/Q2501174	gor	Gorontalo	gorontalo	Gorontalo	Gorontalo	Idioma gorontalo	Gorontalo language	langue parlée en Gorontalo, Indonésie	Sprache	taal	lengua malayo-polinesia hablada en Gorontalo, Indonesia
http://www.wikidata.org/entity/Q35722	got	Gothic	gotique	Gotisch	Gotisch	gótico	extinct East Germanic language spoken by the Goths	langue ancienne germanique parlée par les Goths dans l'Antiquité tardive et le Haut Moyen Âge	ostgermanische Sprache	uitgestorven Oost-Germaanse taal	lengua germánica extinta hablada por el pueblo godo
http://www.wikidata.org/entity/Q9129	el	Greek	grec	Griechisch	Grieks	griego	Indo-European language	langue indo-européenne parlée en Grèce, à Chypre et dans le Sud de l'Albanie	indogermanische Sprache	Indo-Europese taal	lengua helénica originaria de Grecia
http://www.wikidata.org/entity/Q25355	kl	Greenlandic	groenlandais	Grönländisch	Groenlands	groenlandés	Eskimo-Aleut language spoken in Greenland	langue eskimo-aléoute	eskimo-aleutische Sprache	taal	lengua esquimo-aleutiana hablada en la isla danesa de Groenlandia
http://www.wikidata.org/entity/Q3006280	gcf	Guadeloupean Creole	créole guadeloupéen		Guadeloups-Creools		French-based creole spoken in Guadeloupe	créole à base lexicale française parlé en Guadeloupe		mengtaal ontstaan in de Franse gebieden in de Cariben	
http://www.wikidata.org/entity/Q35876	gn	Guarani	guarani	Guaraní	Guarani	guaraní	Tupian language of Paraguay, Argentina, Brazil and Bolivia, distinct groups within the Guaraní subgroup	langue tupi	Sprache	taal	lengua de la familia tupí-guaraní hablada en el Cono Sur
http://www.wikidata.org/entity/Q56428	nrf-gg	Guernésiais	guernesiais	Guernésiais	Dgèrnésiais	guernseyés	variety of the Norman language spoken in Guernsey	dialecte du normand utilisé sur l'île Anglo-Normande de Guernesey	indogermanische Sprache	dialect	lengua de la isla de Guernsey
http://www.wikidata.org/entity/Q5137	gu	Gujarati	gujarati	Gujarati	Gujarati	guyarati	Indo-Aryan language that is spoken in the Indian state of Gujarat	langue indo-aryenne et officielle en Inde	indogermanische Sprache	taal	idioma de la India que procede del estado de Guyarat
http://www.wikidata.org/entity/Q3111668	guw	Gun	gun-gbe	Gun		Idioma Gungbe	language spoken in Nigeria and Benin	langue gbe	Sprache	taal	lengua hablada en Nigeria y Benín
http://www.wikidata.org/entity/Q689894	pa	Gurmukhi	gourmoukhî	Gurmukhi-Schrift	Gurmukhi	alfabeto gurmukhi	Brahmic script used to write the Punjabi language; commonly used to write Punjabi in India; prominent component of Sikh religious literature	écriture brahmique communément utilisée pour la langue penjâbie en Inde ; composant éminent de la littérature religieuse sikh			alfabeto brahmí utilizado para escribir punjabi
http://www.wikidata.org/entity/Q485492	ko-gyg	Gyeonggi Korean				dialecto de Seúl	dialect of the Korean language spoken in Seoul				
http://www.wikidata.org/entity/Q488002	ko-gys	Gyeongsang Korean					major dialect in South Korea				
http://www.wikidata.org/entity/Q33303	hai	Haida	haïda	Haida	Haida	idioma haida	endangered language spoken in Canada and Alaska	langue des Haïdas, un peuple amérindien	Sprache des nordamerikanischen Haida-Volkes, ein indigenes Sprachisolat	taal	lengua indígena de Alaska y Columbia Británica
http://www.wikidata.org/entity/Q33491	ht	Haitian Creole	créole haïtien	Haitianisch-Kreolisch	Haïtiaans-Creools	criollo haitiano	language spoken in Haiti	langue créole parlée en Haïti	Kreolsprache	taal	lengua criolla hablada en Haití
http://www.wikidata.org/entity/Q3250286	cnh	Hakha–Chin	haka chin	Hakha Chin	Hakha-Chin	idioma hakha-chin	language	langue kuki-chin-naga	Sprache	taal	lengua
http://www.wikidata.org/entity/Q33375	hak	Hakka Chinese	hakka	Hakka	Hakka	chino hakka	primary branch of Chinese originating in Southern China	langue chinoise parlée principalement dans le sud de la Chine et à Taïwan	Sprache	taal	subdivisión del idioma chino
http://www.wikidata.org/entity/Q860702	ko-ham	Hamgyŏng				Dialecto de Hamgyŏng	dialect of the Korean language				dialecto del idioma coreano
http://www.wikidata.org/entity/Q56475	ha	Hausa	haoussa	Hausa	Hausa	hausa	Chadic language native to the Hausa people	langue tchadique parlée en Afrique de l’Ouest	afroasiatische Sprache, meistgesprochene Handelssprache in Westzentralafrika	Afrikaanse taal	lengua de la familia afroasiática
http://www.wikidata.org/entity/Q33569	haw	Hawaiian	hawaïen	Hawaiisch	Hawaïaans	hawaiano	Polynesian language	langue polynésienne	Sprache der polynesischen Ureinwohner der Hawaii-Inseln	taal	lengua hablada en Hawai
http://www.wikidata.org/entity/Q9288	he	Hebrew	hébreu	Hebräisch	Hebreeuws	hebreo	Northwest Semitic language	langue, d'origine chamito-sémitique, officielle d'Israël	nordwestsemitische Sprache	semitische taal afkomstig uit Israël	lengua semítica, oficial en Israel
http://www.wikidata.org/entity/Q33315	hz	Herero	héréro	Otjiherero	Herero	herero	Bantu language of Nambia and Botswana	langue bantoue	Sprache	taal	lengua bantú hablada por la etnia herero de Namibia y Botsuana
http://www.wikidata.org/entity/Q64483808	art-vlh	High Valyrian			Hoogvalyriaans		constructed language created for Game of Thrones				
http://www.wikidata.org/entity/Q35978	hil	Hiligaynon	hiligaïnon	Hiligaynon	Hiligaynon	hiligaíno	Hiligaynon language spoken in the Western Visayas region of the Philippines	une des langues bisayas parlée aux Philippines	austronesische Sprache auf den Philippinen	taal	lengua bisaya
http://www.wikidata.org/entity/Q1776032	mrj	Hill Mari	mari des montagnes	Bergmari	West-Tsjeremissisch	mari de las colinas	Mari language in the Uralic language family	langue ouralienne	Sprache	taal gesproken in het oosten van de autonome republiek Mari El in de Russische Federatie	dialecto del mari
http://www.wikidata.org/entity/Q1568	hi	Hindi	hindi	Hindi	Hindi	hindi	Indo-Aryan language spoken in India	langue indo-européenne	indoarische Sprache	taal	lengua indoaria, oficial de la India (junto al inglés)
http://www.wikidata.org/entity/Q382273	hno	Hindko	hindko	Hindko	Hindko		Indo-Aryan language spoken in Afghanistan, Pakistan, and India	langue indo-aryenne parlée en Afghanistan, au Pakistan et en Inde	Sprache	taal	lengua
http://www.wikidata.org/entity/Q33617	ho	Hiri Motu	hiri motou	Hiri Motu	Hiri Motu	Hiri motu	Austronesian language of Papua New Guinea	pidgin basé essentiellement sur le motu	Nationalsprache in Papua-Neuguinea	taal	idioma oficial de Papúa Nueva Guinea
http://www.wikidata.org/entity/Q117674271	hit-latn	Hittite in Latin Script			Hettitisch in Latijns schrift						
http://www.wikidata.org/entity/Q33270	hoc	Ho	ho	Ho			Munda language of the Austro-Asiatic language family spoken primarily in India	langue	Munda-Sprache	taal	lengua
http://www.wikidata.org/entity/Q10974017	var	Huarijio	guarijio			idioma guarijío	Uto-Aztecan lanugage	langue uto-aztèque	Sprache	taal	lengua utoazteca
http://www.wikidata.org/entity/Q6094343	qwh	Huaylas Quechua	quechua ancash de Huaylas			quechua de Huailas	Quechuan language of Peru spoken in the Callejón de Huaylas	langue quechua	Sprache	taal	variante del quechua hablada en el Callejón de Huaylas
http://www.wikidata.org/entity/Q9067	hu	Hungarian	hongrois	Ungarisch	Hongaars	húngaro	Ugric language mainly spoken in Hungary and surrounding countries	langue ougrienne principalement parlée en Hongrie et dans les pays autour	ugrische Sprache der uralischen Sprachfamilie	officiële taal van Hongarije	lengua de la familia de lenguas urálicas
http://www.wikidata.org/entity/Q304049	hrx	Hunsrik	hunsrik	Riograndenser Hunsrückisch	Riograndenser Hunsrückisch	Riograndenser Hunsrückisch	Germanic language spoken in Brazil	langue germanique	Sprache	taal	lengua
http://www.wikidata.org/entity/Q16183706	ko-hwa	Hwanghae Korean				provincia de Corea del Sur	dialect of Korean				
http://www.wikidata.org/entity/Q1420587	nn-hognorsk	Høgnorsk	høgnorsk	Høgnorsk	Hoognoors	Høgnorsk	unofficial Norwegian written standard language		inoffizielle Variante des Nynorsk (neunorwegisch)		
http://www.wikidata.org/entity/Q33424	iba	Iban	iban	Iban	Iban	Idioma iban	Coastal Dayak language spoken by Iban people	langue malayo-polynésienne	Sprache	taal	lengua polinesia
http://www.wikidata.org/entity/Q294	is	Icelandic	islandais	Isländisch	IJslands	islandés	North Germanic language mainly spoken in Iceland	langue nordique parlée en Islande	nordgermanische Sprache, auf Island gesprochen	Noord-Germaanse taal	lengua nórdica, oficial de Islandia
http://www.wikidata.org/entity/Q35847	mis-idn	Idiom Neutral	Idiom Neutral	Idiom Neutral	Idiom Neutral		international auxiliary language, published by the International Academy of the Universal Language in 1902 under the leadership of W. Rosenberger; a heavy revision of Volapük	langue construite	Sprache	kunsttaal	idioma humano
http://www.wikidata.org/entity/Q35224	io	Ido	ido	Ido	Ido	ido	constructed international auxiliary language	langue construite dérivée de l'espéranto	konstruierte menschliche Sprache	kunsttaal	lengua construida
http://www.wikidata.org/entity/Q33578	ig	Igbo	igbo	Igbo	Igbo	idioma igbo	Niger–Congo language of the Igbo people, mainly spoken in Nigeria	langue parlée au Nigeria	Muttersprache des Volks der Igbo in Nigeria	taal	lengua hablada en Nigeria
http://www.wikidata.org/entity/Q35936	ilo	Ilocano	ilocano	Ilokano	Ilokano	ilocano	Austronesian language spoken by the native Ilocano people of the Philippines	langue	Sprache	taal	lengua y cultura asociada con los ilocanos, el tercer grupo étnico más grande de Filipinas
http://www.wikidata.org/entity/Q33462	smn	Inari Sami	same d'Inari	Inarisamisch	Inari-Samisch	sami inari	Sami language spoken by the Inari Sami of Finland	langue ouralienne	Sprache	taal	lengua sami
http://www.wikidata.org/entity/Q1348800	en-in	Indian English	anglais indien	indisches Englisch	Indiaas Engels	Inglés de la India	group of English dialects spoken primarily in the Indian subcontinent	variété de la langue anglaise parlée en Inde	Sprache		idioma inglés hablado en la India
http://www.wikidata.org/entity/Q9240	id	Indonesian	indonésien	Indonesisch	Indonesisch	indonesio	official language of Indonesia	langue officielle de la République d'Indonésie	Amtssprache in Indonesien	taal	idioma oficial de la República de Indonesia
http://www.wikidata.org/entity/Q33509	inh	Ingush	ingouche	Inguschisch	Ingoesjetisch	ingusetio	language spoken by the Ingush people	langue	Sprache	taal	lengua que hablan los ingusetios
http://www.wikidata.org/entity/Q13351	moe	Innu-aimun	innu-aimun	Innu-Sprache	Innu	innu	Cree language of eastern Canada	langue algonquienne parlée par les Innus dans l'Est du Canada	Sprache in Québec und Labrador, Kanada	taal	lenguaje hablado en Canadá
http://www.wikidata.org/entity/Q35934	ia	Interlingua	interlingua	Interlingua	Interlingua		international auxiliary language created by IALA	langue auxiliaire internationale créée par l'IALA	von IALA geschaffene internationale Hilfssprache	kunsttaal van International Auxiliary Language Association	idioma auxiliar internacional creado por la IALA
http://www.wikidata.org/entity/Q35850	ie	Interlingue	occidental	Interlingue	Interlingue	interlingue	international auxiliary language created 1922	langue construite	konstruierte Sprache	kunsttaal	lengua construida
http://www.wikidata.org/entity/Q33845	nap	Intermediate Southern Italian	napolitain	Neapolitanisch	Napolitaans	napolitano	Southern Italo-Romance dialects spoken in southern Italy	langue romane du sud de l'Italie	romanische Sprache	taal	lengua romance hablada en Campania y varias regiones del sur de Italia
http://www.wikidata.org/entity/Q29921	iu	Inuktitut	inuktitut	Inuktitut	Inuktitut	inuktitut	name of several Inuit languages spoken in Canada	langue eskimo-aléoute	Dialektgruppe der Inuit-Sprache	taal	lenguas nativas de los esquimales más orientales de Alaska, Canadá y Groenlandia
http://www.wikidata.org/entity/Q56232	acm	Iraqi Arabic	arabe mésopotamien	Irakisch-Arabisch	Mesopotamisch-Arabisch	árabe mesopotámico	continuum of mutually-intelligible varieties of Arabic	langue sémitique	Sprache	taal	variante de la lengua árabe hablada en Mesopotamia
http://www.wikidata.org/entity/Q9142	ga	Irish	irlandais	Irisch	Iers	irlandés	language native to Ireland	langue celtique officielle en Irlande	gälische Sprache	taal	idioma goidélico de la familia de lenguas indoeuropeas
http://www.wikidata.org/entity/Q33419	isk	Ishkashimi	ishkashimi	Ishkashimi		Idioma ishkashimi	Southeastern Iranian language spoken in Tajikistan and Afghanistan	langue iranienne	indogermanische Sprache	taal	lengua
http://www.wikidata.org/entity/Q135415260	isk-cyrl	Ishkashimi in Cyrillic									
http://www.wikidata.org/entity/Q135415262	isk-latn	Ishkashimi in Latin script									
http://www.wikidata.org/entity/Q652	it	Italian	italien	Italienisch	Italiaans	italiano	Romance language	langue romane	Sprache aus dem romanischen Zweig der indogermanischen Sprachen	taal in de Romaanse taalgroep	lengua romance
http://www.wikidata.org/entity/Q27183	ik	Iñupiaq	inupiaq	Inupiaq	Inupiak	Idioma iñupiaq	group of dialects of the Inuit language	langue eskimo-aléoute	Gruppe von Inuktitut-Dialekten	taal	lengua indígena de Alaska
http://www.wikidata.org/entity/Q35939	jam	Jamaican Patois	créole jamaïcain	Jamaikanisch-Kreolisch	Jamaicaans-Patois	criollo jamaicano	English-based creole spoken in and around Jamaica; it additionally takes influence from various African languages, particularly Akan	créole basé sur l'anglais parlé en Jamaïque	auf Jamaika verbreitete Kreolsprache mit englischen Wurzeln	belangrijkste taal op Jamaica naast het Engels	lengua de base inglesa hablada principalmente en Jamaica
http://www.wikidata.org/entity/Q3915769	jax	Jambi Malay	malais jambi				language in Indonesia	langue malaïque	Sprache	taal	lengua
http://www.wikidata.org/entity/Q12953730	mxt	Jamiltepec Mixtec	mixtèque de Jamiltepec			idioma mixteco en California	language	langue mixtèque	Sprache	taal	lengua
http://www.wikidata.org/entity/Q5287	ja	Japanese	japonais	Japanisch	Japans	japonés	language spoken in East Asia	langue est-asiatique parlée au Japon	ostasiatische Sprache	taal	lengua japónica de Asia Oriental
http://www.wikidata.org/entity/Q53979341	ja-hira	Japanese written in hiragana	japonais en hiragana		Japans geschreven in hiragana					geschreven taal	
http://www.wikidata.org/entity/Q53979345	ja-hrkt	Japanese written in kana	japonais en kana		Japans geschreven in kana						
http://www.wikidata.org/entity/Q53979504	ja-hani	Japanese written in kanji	japonais en kanji		Japans geschreven in kanji		written language			geschreven taal	
http://www.wikidata.org/entity/Q53979342	ja-kana	Japanese written in katakana	japonais en katakana		Japans geschreven in katakana						
http://www.wikidata.org/entity/Q33549	jv	Javanese	javanais	Javanisch	Javaans	javanés	Austronesian language	langue malayo-polynésienne parlée en Indonésie	austronesische Sprache	taal	lengua hablada en parte de la isla de Java
http://www.wikidata.org/entity/Q11250166	ko-jeo	Jeolla	jeolla				dialect of the Korean language	dialecte du coréen			
http://www.wikidata.org/entity/Q36196	lad	Judaeo-Spanish	judéo-espagnol	Sephardisch	Ladino	idioma judeoespañol	language derived from Medieval Spanish spoken by Sephardic Jews	langue judéo-romane dérivée du vieux castillan et de l'hébreu	romanische Sprache der sephardischen Juden	Sefardische taal	lengua judeorromance, derivada del castellano medieval con influencias del hebreo y otras lenguas, hablada por los judíos sefardíes
http://www.wikidata.org/entity/Q1340322	jut	Jutlandic	jute	Jütisch	Jutlands	Juto	Danish dialect	langue germanique éteinte	Sprache	Deens dialect	
http://www.wikidata.org/entity/Q56430	nrf-je	Jèrriais	jersiais	Jèrriais	Jèrriais	jerseyés	variety of Norman spoken in Jersey, in the Channel Islands	dialecte du normand	romanische Sprache	dialect	lengua de la isla de Jersey
http://www.wikidata.org/entity/Q33522	kbd	Kabardian	kabarde	Kabardinisch	Kabardijns	cabardino	Northwest Caucasian language	langue	Sprache	taal	idioma pertenece a la familia de las lenguas caucásicas noroccidentales
http://www.wikidata.org/entity/Q64362989	kbd-cyrl	Kabardian in Cyrillic script	kabarde en alphabet cyrillique		Kabardijns in Cyrillisch schrift		Kabardian written in Cyrillic				
http://www.wikidata.org/entity/Q35475	kbp	Kabiye	kabiyé	Kabiyé	Kabiye	kabiyé	Eastern Gurunsi language primarily of northern Togo	langue grusi	Sprache	taal	idioma humano
http://www.wikidata.org/entity/Q35853	kab	Kabyle	kabyle	Kabylisch	Kabylisch	cabilio	Berber language spoken by the Kabyle people	langue berbère parlée par les Kabyles	im Norden Algeriens verbreitete Berber-Sprache	taal	lengua bereber
http://www.wikidata.org/entity/Q5317225	dtp	Kadazandusun	kadazandusun	Kadazandusun	Dusun		language spoken by the Dusun and Kadazan peoples of Sabah, Malaysia	langue bornéo du Nord parlée par les Dusun et les Kadazan	Sprache	taal	lengua
http://www.wikidata.org/entity/Q6346422	cgc	Kagayanen				idioma cagayano	language	langue	Sprache	taal	lengua austronesia
http://www.wikidata.org/entity/Q2665734	kgp	Kaingang	kaingang	Kaingang	Kaingang	Lengua kaingang	language of Kaingang people	langue jê	Sprache	taal	La lengua Kaingang esuna e las lenguas de la familia lingüística Ye, integrante del trongo Macro-Ye
http://www.wikidata.org/entity/Q33634	xal	Kalmyk	kalmouk	Kalmückisch	Kalmuks	kalmuko	register of the Oirat language, natively spoken by the Kalmyk people of Kalmykia	langue mongole	Sprache	taal	lengua hablada por los calmucos de Kalmukia en Rusia
http://www.wikidata.org/entity/Q172244	xnb	Kanakanavu	kanakanabu		Kanakanabu	idioma kanakanabu	Austronesian language spoken in Taiwan	langue tsouique	Sprache	taal	lengua
http://www.wikidata.org/entity/Q33673	kn	Kannada	kannara	Kannada	Kannada	canarés	Dravidian language native to South India	langue dravidienne originaire du sud de l’Inde	Sprache aus der dravidischen Sprachfamilie	taal in India	lengua dravídica de India
http://www.wikidata.org/entity/Q36094	kr	Kanuri	kanouri	Kanuri	Kanuri	kanuri	Saharan language	langue saharienne	Sprache	taal	idioma humano
http://www.wikidata.org/entity/Q36121	pam	Kapampangan	pampangue	Kapampangan	Kapampangan	pampango	Austronesian language spoken in the Philippines	langue luzon centrale	Sprache	taal	lengua austronesia
http://www.wikidata.org/entity/Q35115	cak	Kaqchikel	cakchiquel	Cakchiquel-Sprache	Kaqchikel	Kaqchikel	Mesoamerican language	langue maya	Sprache	taal	Idioma hablado por la población kakchikel en la región centro occidental de Guatemala y en el sur de México
http://www.wikidata.org/entity/Q33714	krc	Karachay-Balkar	karatchaï-balkar	Karatschai-Balkarisch	Karatsjai-Balkarisch	idioma karachái-bálkaro	Turkic language	langue turque	Sprache	taal	lengua túrquica
http://www.wikidata.org/entity/Q33541	kaa	Karakalpak	karakalpak	Karakalpakisch	Karakalpaks	Idioma karakalpako	one of the Turkic languages in Central Asia, the state language of Karakalpakstan	langue appartenant à la famille des langues turques parlée dans le Karakalpakstan	Turksprache in Usbekistan	taal	lengua túrquica
http://www.wikidata.org/entity/Q33720	krj	Karay-a	harayen	Kinaray-a	Kinaray-a	harayo	Visayan language	langue	Sprache	taal op de Filipijnen	lengua bisaya
http://www.wikidata.org/entity/Q33557	krl	Karelian	carélien	Karelisch	Karelisch	carelio	Finnic language	langue fennique	Sprache	taal	lengua que pertenece a la rama fínica de la familia de lenguas urálicas
http://www.wikidata.org/entity/Q16920253	awd-kar	Kariaí	cariay				language	langue arawakienne	Sprache	taal	lengua
http://www.wikidata.org/entity/Q35704	krx	Karon	karone	Karon			language	langue	Sprache	taal	lengua
http://www.wikidata.org/entity/Q33552	ks	Kashmiri	cachemiri	Kashmiri	Kasjmiri	cachemir	language from the Dardic subgroup of the Indo-Aryan languages	langue indo-aryenne	Sprache	taal	lengua dárdica
http://www.wikidata.org/entity/Q64362994	ks-arab	Kashmiri in Arabic script	cachemiri en écriture arabe		Kasjmiri in Arabisch schrift		language expressed in a particular alphabet	langue dans un système d’écriture			
http://www.wikidata.org/entity/Q64362995	ks-deva	Kashmiri in Devanagari script	cachemiri en devanagari		Kasjmiri in Devanagari schrift		language expressed in a particular alphabet				
http://www.wikidata.org/entity/Q33690	csb	Kashubian	cachoube	Kaschubisch	Kasjoebisch	casubio	West Slavic language spoken in Poland	langue slave occidentale parlée en Pologne	Sprache	taal	lengua de la familia eslava
http://www.wikidata.org/entity/Q716627	ckv	Kavalan	kavalan		Kavalaans	Idioma kavalan	East Formosan language of Taiwan	langue formosane de l'Est	Sprache	taal	lengua austronesia formosana, hablada en Taiwán
http://www.wikidata.org/entity/Q9252	kk	Kazakh	kazakh	Kasachisch	Kazachs	kazajo	Turkic language in Central Asia, state language of Kazakhstan	langue turque en Asie centrale, langue d'état de Kazakhstan	Turksprache der kiptschakischen Untergruppe	de officiële taal van Kazachstan	lengua túrquica
http://www.wikidata.org/entity/Q64362991	kk-arab	Kazakh in Arabic script	kazakh en alphabet arabe		Kazachs in Arabisch schrift		language expressed in a particular alphabet				
http://www.wikidata.org/entity/Q64427349	kk-cn	Kazakh in China	kazakh en Chine		Kazachs in China		local variant of the Kazakh language				
http://www.wikidata.org/entity/Q64362992	kk-cyrl	Kazakh in Cyrillic script	kazakh en alphabet cyrillique		Kazachs in Cyrillisch schrift		language expressed in a particular alphabet				
http://www.wikidata.org/entity/Q64427350	kk-kz	Kazakh in Kazakhstan	kazakh au Kazakhstan		Kazachs in Kazachstan		local variant of the Kazakh language				
http://www.wikidata.org/entity/Q64362993	kk-latn	Kazakh in Latin script	kazakh en écriture latine		Kazachs in Latijns schrift		language expressed in a particular alphabet	langue exprimée dans un alphabet particulier			
http://www.wikidata.org/entity/Q64427352	kk-tr	Kazakh in Turkey	kazakh en Turquie		Kazachs in Turkije		local variant of the Kazakh language				
http://www.wikidata.org/entity/Q3195442	kvr	Kerinci	kerinci	Kerinci	Kerinci	Kerinci	Western Sumatran language of Kerinci people originating from Kerinci region in Sumatra	langue	Sprache	taal	lengua
http://www.wikidata.org/entity/Q2779411	kae	Ketagalan	ketangalan		Ketangalaans	Luilang	extinct Austronesian language of Taiwan	langue formosane	Sprache	taal	lengua austronesia extinta de Taiwán
http://www.wikidata.org/entity/Q33575	kjh	Khakas	khakasse	Chakassisch	Chakassisch	Idioma jakasio	Turkic language spoken by the Khakas people	langue turque	nordtürkische Sprache der südsibirischen Untergruppe	taal	lengua túrquica hablada por los jakasios
http://www.wikidata.org/entity/Q12952626	kbg	Khamba	khamba				language	langue tibétique	Sprache	taal	lengua
http://www.wikidata.org/entity/Q56601	khg	Khams Tibetan	tibétain khamké				language	langue tibétique	Sprache	taal	lengua
http://www.wikidata.org/entity/Q33584	kha	Khasi	khasi	Khasi	Khasi	idioma khasi	Austroasiatic language of Meghalaya state, India	langue austroasiatique parlée en Inde	Sprache	taal	lengua
http://www.wikidata.org/entity/Q9205	km	Khmer	khmer	Khmer	Khmer	camboyano	Austroasiatic language of Cambodia	langue parlée au Cambodge	Amtssprache Kambodschas	taal	lengua austroasiática
http://www.wikidata.org/entity/Q33335	kjg	Khmu	khmu	Khmu		Idioma khmu	language	langue austroasiatique parlée au Laos, au Viêt Nam, en Thaïlande et en Chine	austroasiatische Sprache	taal	lengua del pueblo khmu de la región norte de Laos
http://www.wikidata.org/entity/Q35373	kmz	Khorasani Turkic	turc du Khorassan	Chorasan-Türkisch		Idioma turco de Jorasán	language	langue turque parlée en Iran	Sprache	taal	idioma túrquico
http://www.wikidata.org/entity/Q938216	khw	Khowar	khowar	Khowar	Khowar	Khowar	Indo-Aryan language of the Dardic group spoken in Chitral and Gilgit region of Pakistan	langue indo-aryenne	indoeuropäische Sprache	taal	lengua dárdica hablada en Chitral, Pakistán
http://www.wikidata.org/entity/Q2562249	sgh-kh	Khufi	khufi	Khufi			language	dialecte du shughni	indogermanische Sprache	taal	lengua
